500px,,500px.com/search?q=QUERY&type=photos&sort=relevance
Alamy,,alamy.com/search.html?qt=
Bigstock,,bigstockphoto.com/search/
Buamai,,buamai.com/search/keywords/
Compfight,,http://compfight.com/search/
EyeEm,,eyeem.com/search?q=
Flickr,,flickr.com/search/?q=
Foap,,foap.com/search?q=
FreeImages,,freeimages.com/search/
Getty Images,,gettyimages.co.uk/search/2/image?family=creative&phrase=
Google,,google.com/search?site=imghp&tbs=isz:l&tbm=isch&q=
ISO Republic,,isorepublic.com/?s=
iStock,,istockphoto.com/photos/
PhotoDune,,photodune.net/search/
Picfair,,picfair.com/search?q=
Pinterest,,pinterest.com/search/pins/?q=
Pixabay,,pixabay.com/en/photos/?q=
Shutterstock,,shutterstock.com/cat.mhtml?searchterm=
Unsplash,,unsplash.com/search/
YouWorkForThem,,youworkforthem.com/search/QUERY/paramsort/photos/landing/yes
